VACCINE,STATE,APPLICANTS,VACCINATED,YEAR
BCG,All India,25099000,20260277,2008
BCG,All India,25186000,19220026,2009
BCG,All India,25536000,18320469,2010
BCG,All India,25301000,17575796,2011
BCG,All India,25421000,17733443,2012
BCG,All India,25594000,17812748,2013
BCG,All India,25928000,18029375,2014
BCG,All India,25870000,18192105,2015
BCG,All India,26252000,18130436,2016
BCG,All India,26311000,17999258,2017
BCG,All India,26009790,17700130,2018
BCG,All India,26297590,18201424,2019
BCG,Arunachal Pradesh,26000,14423,2008
BCG,Arunachal Pradesh,26000,12679,2009
BCG,Arunachal Pradesh,26000,14703,2010
BCG,Arunachal Pradesh,27000,11742,2011
BCG,Arunachal Pradesh,26000,15437,2012
BCG,Arunachal Pradesh,26000,18054,2013
BCG,Arunachal Pradesh,27000,16660,2014
BCG,Arunachal Pradesh,27000,17234,2015
BCG,Arunachal Pradesh,27000,14851,2016
BCG,Arunachal Pradesh,27000,16355,2017
BCG,Arunachal Pradesh,26370,15063,2018
BCG,Arunachal Pradesh,26620,16122,2019
BCG,Assam,673000,513031,2008
BCG,Assam,672000,481146,2009
BCG,Assam,680000,483632,2010
BCG,Assam,677000,458042,2011
BCG,Assam,676000,496503,2012
BCG,Assam,681000,445752,2013
BCG,Assam,690000,470759,2014
BCG,Assam,702000,460576,2015
BCG,Assam,710000,519052,2016
BCG,Assam,707000,482245,2017
BCG,Assam,690550,431309,2018
BCG,Assam,697710,495620,2019
BCG,Manipur,35000,34679,2008
BCG,Manipur,37000,38475,2009
BCG,Manipur,38000,38215,2010
BCG,Manipur,37000,36769,2011
BCG,Manipur,38000,38807,2012
BCG,Manipur,43000,39066,2013
BCG,Manipur,44000,37916,2014
BCG,Manipur,44000,36471,2015
BCG,Manipur,45000,36306,2016
BCG,Manipur,44000,33569,2017
BCG,Manipur,44780,31115,2018
BCG,Manipur,45210,29878,2019
BCG,Meghalaya,59000,45264,2008
BCG,Meghalaya,61000,56665,2009
BCG,Meghalaya,62000,59206,2010
BCG,Meghalaya,68000,60060,2011
BCG,Meghalaya,69000,62333,2012
BCG,Meghalaya,70000,64568,2013
BCG,Meghalaya,71000,63684,2014
BCG,Meghalaya,72000,62529,2015
BCG,Meghalaya,73000,63463,2016
BCG,Meghalaya,73000,60698,2017
BCG,Meghalaya,70660,56233,2018
BCG,Meghalaya,71350,66861,2019
BCG,Mizoram,18000,8044,2008
BCG,Mizoram,17000,17896,2009
BCG,Mizoram,17000,16987,2010
BCG,Mizoram,17000,15345,2011
BCG,Mizoram,17000,18293,2012
BCG,Mizoram,17000,17651,2013
BCG,Mizoram,17000,17869,2014
BCG,Mizoram,18000,15485,2015
BCG,Mizoram,18000,15117,2016
BCG,Mizoram,18000,13187,2017
BCG,Mizoram,17610,14050,2018
BCG,Mizoram,17790,15386,2019
BCG,Nagaland,37000,9634,2008
BCG,Nagaland,38000,19460,2009
BCG,Nagaland,38000,15553,2010
BCG,Nagaland,31000,16437,2011
BCG,Nagaland,30000,20981,2012
BCG,Nagaland,30000,20503,2013
BCG,Nagaland,31000,20494,2014
BCG,Nagaland,32000,20694,2015
BCG,Nagaland,32000,19534,2016
BCG,Nagaland,32000,17608,2017
BCG,Nagaland,28830,15978,2018
BCG,Nagaland,29100,17072,2019
BCG,Sikkim,11000,6040,2008
BCG,Sikkim,11000,5751,2009
BCG,Sikkim,11000,6553,2010
BCG,Sikkim,11000,6762,2011
BCG,Sikkim,11000,6215,2012
BCG,Sikkim,11000,6196,2013
BCG,Sikkim,11000,6139,2014
BCG,Sikkim,11000,5972,2015
BCG,Sikkim,11000,5439,2016
BCG,Sikkim,11000,5455,2017
BCG,Sikkim,10730,5259,2018
BCG,Sikkim,10830,4927,2019
BCG,Tripura,58000,41303,2008
BCG,Tripura,53000,37824,2009
BCG,Tripura,53000,43036,2010
BCG,Tripura,51000,42025,2011
BCG,Tripura,51000,42210,2012
BCG,Tripura,51000,41176,2013
BCG,Tripura,51000,40186,2014
BCG,Tripura,57000,39932,2015
BCG,Tripura,57000,39023,2016
BCG,Tripura,57000,38458,2017
BCG,Tripura,50400,35529,2018
BCG,Tripura,50900,38116,2019
BCG,Bihar,2617000,1883491,2008
BCG,Bihar,2615000,1662241,2009
BCG,Bihar,2652000,1689146,2010
BCG,Bihar,2775000,1828174,2011
BCG,Bihar,2814000,1859806,2012
BCG,Bihar,2842000,1860600,2013
BCG,Bihar,2877000,1988741,2014
BCG,Bihar,2734000,2035960,2015
BCG,Bihar,2765000,2079830,2016
BCG,Bihar,2839000,2047391,2017
BCG,Bihar,2899950,2017335,2018
BCG,Bihar,2929430,2096424,2019
BCG,Chhattisgarh,585000,427078,2008
BCG,Chhattisgarh,586000,436619,2009
BCG,Chhattisgarh,594000,422900,2010
BCG,Chhattisgarh,609000,389690,2011
BCG,Chhattisgarh,608000,372012,2012
BCG,Chhattisgarh,614000,376364,2013
BCG,Chhattisgarh,622000,413958,2014
BCG,Chhattisgarh,607000,419744,2015
BCG,Chhattisgarh,614000,412391,2016
BCG,Chhattisgarh,618000,413819,2017
BCG,Chhattisgarh,613190,402031,2018
BCG,Chhattisgarh,619860,411552,2019
BCG,Himachal Pradesh,110000,96289,2008
BCG,Himachal Pradesh,114000,98386,2009
BCG,Himachal Pradesh,115000,97961,2010
BCG,Himachal Pradesh,110000,88915,2011
BCG,Himachal Pradesh,109000,90248,2012
BCG,Himachal Pradesh,108000,88523,2013
BCG,Himachal Pradesh,109000,82318,2014
BCG,Himachal Pradesh,113000,79116,2015
BCG,Himachal Pradesh,119000,75031,2016
BCG,Himachal Pradesh,115000,70666,2017
BCG,Himachal Pradesh,113030,69673,2018
BCG,Himachal Pradesh,113840,68627,2019
BCG,Jammu & Kashmir,205000,197690,2008
BCG,Jammu & Kashmir,205000,172066,2009
BCG,Jammu & Kashmir,208000,170511,2010
BCG,Jammu & Kashmir,216000,154204,2011
BCG,Jammu & Kashmir,216000,157811,2012
BCG,Jammu & Kashmir,218000,154259,2013
BCG,Jammu & Kashmir,221000,151287,2014
BCG,Jammu & Kashmir,214000,159435,2015
BCG,Jammu & Kashmir,213000,158442,2016
BCG,Jammu & Kashmir,213000,149350,2017
BCG,Jammu & Kashmir,205080,155595,2018
BCG,Jammu & Kashmir,206890,153028,2019
BCG,Jharkhand,756000,545409,2008
BCG,Jharkhand,759000,502964,2009
BCG,Jharkhand,770000,568701,2010
BCG,Jharkhand,798000,536112,2011
BCG,Jharkhand,799000,533147,2012
BCG,Jharkhand,808000,506145,2013
BCG,Jharkhand,820000,566492,2014
BCG,Jharkhand,807000,564614,2015
BCG,Jharkhand,809000,575912,2016
BCG,Jharkhand,818000,610918,2017
BCG,Jharkhand,802290,581659,2018
BCG,Jharkhand,811510,598318,2019
BCG,Madhya Pradesh,1837000,1380795,2008
BCG,Madhya Pradesh,1838000,1251811,2009
BCG,Madhya Pradesh,1867000,1210228,2010
BCG,Madhya Pradesh,1853000,1127961,2011
BCG,Madhya Pradesh,1866000,1065522,2012
BCG,Madhya Pradesh,1878000,1046581,2013
BCG,Madhya Pradesh,1906000,1028318,2014
BCG,Madhya Pradesh,1897000,1074019,2015
BCG,Madhya Pradesh,1909000,1040199,2016
BCG,Madhya Pradesh,1940000,1040393,2017
BCG,Madhya Pradesh,1918030,1049575,2018
BCG,Madhya Pradesh,1942940,1077183,2019
BCG,Odisha,796000,522635,2008
BCG,Odisha,802000,590444,2009
BCG,Odisha,809000,574448,2010
BCG,Odisha,799000,601810,2011
BCG,Odisha,801000,567464,2012
BCG,Odisha,797000,548597,2013
BCG,Odisha,804000,557968,2014
BCG,Odisha,805000,528096,2015
BCG,Odisha,811000,496953,2016
BCG,Odisha,811000,491520,2017
BCG,Odisha,783130,489562,2018
BCG,Odisha,788810,478435,2019
BCG,Rajasthan,1701000,1284266,2008
BCG,Rajasthan,1709000,1270623,2009
BCG,Rajasthan,1737000,1032088,2010
BCG,Rajasthan,1716000,1047442,2011
BCG,Rajasthan,1728000,1067816,2012
BCG,Rajasthan,1737000,1146367,2013
BCG,Rajasthan,1762000,1128909,2014
BCG,Rajasthan,1749000,1155622,2015
BCG,Rajasthan,1773000,1137850,2016
BCG,Rajasthan,1787000,1145288,2017
BCG,Rajasthan,1767770,1090973,2018
BCG,Rajasthan,1789690,1065198,2019
BCG,Uttar Pradesh,5282000,5278439,2008
BCG,Uttar Pradesh,5317000,4367219,2009
BCG,Uttar Pradesh,5412000,3843438,2010
BCG,Uttar Pradesh,5284000,3243649,2011
BCG,Uttar Pradesh,5318000,3460902,2012
BCG,Uttar Pradesh,5387000,3460522,2013
BCG,Uttar Pradesh,5477000,3504259,2014
BCG,Uttar Pradesh,5543000,3664799,2015
BCG,Uttar Pradesh,5631000,3638102,2016
BCG,Uttar Pradesh,5665000,3692244,2017
BCG,Uttar Pradesh,5606880,3639952,2018
BCG,Uttar Pradesh,5688500,3977858,2019
BCG,Uttarakhand,187000,142773,2008
BCG,Uttarakhand,187000,148774,2009
BCG,Uttarakhand,190000,135846,2010
BCG,Uttarakhand,185000,151833,2011
BCG,Uttarakhand,185000,138465,2012
BCG,Uttarakhand,184000,144237,2013
BCG,Uttarakhand,187000,137887,2014
BCG,Uttarakhand,189000,140631,2015
BCG,Uttarakhand,191000,130840,2016
BCG,Uttarakhand,189000,135013,2017
BCG,Uttarakhand,186220,139974,2018
BCG,Uttarakhand,188280,135174,2019
BCG,Andhra Pradesh Old,1465000,1147349,2008
BCG,Andhra Pradesh Old,1459000,1150298,2009
BCG,Andhra Pradesh Old,1472000,1123739,2010
BCG,Andhra Pradesh Old,1423000,1123901,2011
BCG,Andhra Pradesh Old,1439000,1104837,2012
BCG,Andhra Pradesh Old,1445000,1116038,2013
BCG,Goa,24000,21273,2008
BCG,Goa,23000,18687,2009
BCG,Goa,24000,18404,2010
BCG,Goa,20000,17538,2011
BCG,Goa,20000,16671,2012
BCG,Goa,20000,14097,2013
BCG,Goa,21000,14402,2014
BCG,Goa,21000,14502,2015
BCG,Goa,22000,14368,2016
BCG,Goa,21000,13322,2017
BCG,Goa,21430,14056,2018
BCG,Goa,21930,13821,2019
BCG,Gujarat,1246000,841447,2008
BCG,Gujarat,1244000,893423,2009
BCG,Gujarat,1261000,920051,2010
BCG,Gujarat,1243000,915040,2011
BCG,Gujarat,1251000,907724,2012
BCG,Gujarat,1251000,916312,2013
BCG,Gujarat,1267000,950799,2014
BCG,Gujarat,1273000,970150,2015
BCG,Gujarat,1354000,953999,2016
BCG,Gujarat,1292000,996821,2017
BCG,Gujarat,1277520,915266,2018
BCG,Gujarat,1290490,954962,2019
BCG,Haryana,541000,403576,2008
BCG,Haryana,541000,448919,2009
BCG,Haryana,550000,432164,2010
BCG,Haryana,532000,406322,2011
BCG,Haryana,537000,402237,2012
BCG,Haryana,539000,395045,2013
BCG,Haryana,548000,416413,2014
BCG,Haryana,556000,467546,2015
BCG,Haryana,555000,444913,2016
BCG,Haryana,564000,412227,2017
BCG,Haryana,564380,427170,2018
BCG,Haryana,571810,412873,2019
BCG,Karnataka,1099000,837417,2008
BCG,Karnataka,1107000,810909,2009
BCG,Karnataka,1119000,831580,2010
BCG,Karnataka,1114000,886106,2011
BCG,Karnataka,1110000,874910,2012
BCG,Karnataka,1110000,861144,2013
BCG,Karnataka,1121000,853105,2014
BCG,Karnataka,1122000,829488,2015
BCG,Karnataka,1157000,803451,2016
BCG,Karnataka,1131000,790027,2017
BCG,Karnataka,1111890,786508,2018
BCG,Karnataka,1120420,779125,2019
BCG,Kerala,493000,383445,2008
BCG,Kerala,494000,402265,2009
BCG,Kerala,497000,385295,2010
BCG,Kerala,504000,396665,2011
BCG,Kerala,497000,382705,2012
BCG,Kerala,493000,386796,2013
BCG,Kerala,496000,382337,2014
BCG,Kerala,503000,373334,2015
BCG,Kerala,516000,349871,2016
BCG,Kerala,509000,398016,2017
BCG,Kerala,491490,371237,2018
BCG,Kerala,493850,355675,2019
BCG,Maharashtra,1904000,1508152,2008
BCG,Maharashtra,1913000,1583632,2009
BCG,Maharashtra,1940000,1493022,2010
BCG,Maharashtra,1842000,1393891,2011
BCG,Maharashtra,1855000,1435430,2012
BCG,Maharashtra,1870000,1508745,2013
BCG,Maharashtra,1894000,1434879,2014
BCG,Maharashtra,1924000,1510638,2015
BCG,Maharashtra,1973000,1460487,2016
BCG,Maharashtra,1947000,1487815,2017
BCG,Maharashtra,1901290,1454771,2018
BCG,Maharashtra,1922630,1474705,2019
BCG,Punjab,454000,329636,2008
BCG,Punjab,452000,341481,2009
BCG,Punjab,457000,355249,2010
BCG,Punjab,438000,329402,2011
BCG,Punjab,435000,340041,2012
BCG,Punjab,435000,345656,2013
BCG,Punjab,440000,349100,2014
BCG,Punjab,440000,331939,2015
BCG,Punjab,444000,321235,2016
BCG,Punjab,440000,314676,2017
BCG,Punjab,435320,311791,2018
BCG,Punjab,438810,298209,2019
BCG,Tamil Nadu,1012000,816988,2008
BCG,Tamil Nadu,1036000,814476,2009
BCG,Tamil Nadu,1043000,811131,2010
BCG,Tamil Nadu,1126000,789974,2011
BCG,Tamil Nadu,1119000,771110,2012
BCG,Tamil Nadu,1118000,772661,2013
BCG,Tamil Nadu,1125000,739614,2014
